"2025/12/27","09:00:00","2025/12/27","09:30:00","TEST","70:拡張業務番号%9900","9900
可
行頭改行
2025年12月27日 9時00分-9時30分
"
"2025/12/27","09:30:00","2025/12/27","10:00:00","TEST","71:拡張業務番号%9901","9901
可
行頭空白1文字※TABは受け付けてくれない
2025年12月27日 9時30分-10時00分
"
"2025/12/27","10:00:00","2025/12/27","10:30:00","TEST","72:拡張業務番号%9902","9902
可
行頭空白2文字※TABは受け付けてくれない
2025年12月27日 10時30分-11時00分
"
"2025/12/27","11:00:00","2025/12/27","11:30:00","TEST","73:拡張業務番号(タイトル欄優先)%9903","9903
可
メモ欄とタイトルの業務番号相違。タイトル欄優先
2025年12月27日 11時00分-11時30分
"
"2025/12/27","11:30:00","2025/12/27","12:00:00","TEST","74:拡張業務番号(一行めに関係ない記述)%9905","9905

2025年12月27日 11時30分-12時00分
"
"2025/12/27","13:00:00","2025/12/27","13:30:00","TEST","75:拡張業務番号(未記入)%9906","9906"
"2025/12/27","13:30:00","2025/12/27","14:00:00","TEST","76:拡張業務番号(禁則文字N/A)%9907","9907"
"2025/12/27","14:00:00","2025/12/27","14:30:00","TEST","77:拡張業務番号(別記法)g9608","9608
可
行頭空白2文字※TABは受け付けてくれない
2025年12月27日 14時00分-14時30分
"
"2025/12/27","14:30:00","2025/12/27","15:00:00","TEST","78:拡張業務番号(別記法タイトル欄優先)g9609","9609
可
メモ欄とタイトルの業務番号相違。タイトル欄優先。メモ欄全角
2025年12月27日 14時30分-15時00分
"
"2025/12/27","15:00:00","2025/12/27","15:30:00","TEST","79:拡張業務番号(別記法/行頭全角空白)g9611","9611
可
行頭全角空白1文字
2025年12月27日 15時00分-15時30分
"
