"2025-09-28","09:00:00","2025-09-28","09:30:00","TEST:30:仮の予定","
","TENTATIVE","(N/A)"
"2025-09-28","09:30:00","2025-09-28","10:00:00","TEST:31:他の場所で作業中","
","WORKINGELSEWHERE","(N/A)"
"2025-09-28","10:00:00","2025-09-28","10:30:00","TEST:32:空き時間","
","FREE","(N/A)"
"2025-09-28","10:30:00","2025-09-28","11:00:00","TEST:33:不在","
","OOF","(N/A)"
"2025-09-28","11:00:00","2025-09-28","11:30:00","TEST:34:予定あり(default)","
","BUSY","(N/A)"
"2025-09-28","12:00:00","2025-09-28","12:30:00","TEST:40:色付けのテスト(オレンジ)","
","BUSY","(N/A)"
"2025-09-28","12:30:00","2025-09-28","13:00:00","TEST:41:色付けのテスト(黄)","
","BUSY","(N/A)"
"2025-09-28","13:00:00","2025-09-28","13:30:00","TEST:42:色付けのテスト(紫)","
","BUSY","(N/A)"
"2025-09-28","13:30:00","2025-09-28","14:00:00","TEST:43:色付けのテスト(青)","
","BUSY","(N/A)"
"2025-09-28","14:00:00","2025-09-28","14:30:00","TEST:44:色付けのテスト(赤)","
","BUSY","(N/A)"
"2025-09-28","14:30:00","2025-09-28","15:00:00","TEST:45:色付けのテスト(緑)","
","BUSY","(N/A)"
"2025-09-28","16:00:00","2025-09-28","16:30:00","TEST:50:アイコン(サッカーボール)","
","BUSY","(N/A)"
"2025-09-28","16:30:00","2025-09-28","17:00:00","TEST:51:アイコン(カプセル錠剤)","
","BUSY","(N/A)"
"2025-09-28","17:00:00","2025-09-28","17:30:00","TEST:52:アイコン(時計)","
","BUSY","(N/A)"
