"2025/11/01","11:00:00-0400","2025/11/02","10:00:00-0500","","TEST:146:JST-終日スケジュール(時刻あり)/1日/サマータイム→通常","2025年11月1日11:00-11月2日10:00
"
"2025/11/01","11:00:00-0400","2025/11/03","10:00:00-0500","","TEST:147:JST-終日スケジュール(時刻あり)/2日/サマータイム→通常","2025年11月1日11:00-11月3日10:00
"
"2025/11/02","","2025/11/02","","","TEST:130:EDT-終日スケジュール(時刻なし)/1日/サマータイム→通常","終日:2025年11月2日-11月2日
"
"2025/11/02","","2025/11/03","","","TEST:131:EDT-終日スケジュール(時刻なし)/2日/サマータイム→通常","終日:2025年11月2日-11月3日
"
"2025/11/02","00:00:00-0400","2025/11/03","00:00:00-0500","","TEST:132:EDT-終日スケジュール(時刻あり)/1日/サマータイム→通常","2025年11月2日0:00-11月3日0:00
"
"2025/11/02","00:00:00-0400","2025/11/04","00:00:00-0500","","TEST:133:EDT-終日スケジュール(時刻あり)/2日/サマータイム→通常","2025年11月2日0:00-11月4日0:00
"
"2025/11/02","01:30:00-0400","2025/11/02","02:30:00-0500","","TEST:140:EDT-サマータイム→通常","2025年11月2日0:30-11月2日2:30 (3時間)(1:00-2:00の間が2回)
"
"2026/02/28","10:00:00-0500","2026/03/01","10:00:00-0500","","TEST:142:JST-終日スケジュール(時刻あり)/1日/通常","2026年2月28日10:00-3月1日10:00
"
"2026/02/28","10:00:00-0500","2026/03/02","10:00:00-0500","","TEST:143:JST-終日スケジュール(時刻あり)/2日/通常","2026年2月28日19:00-3月2日10:00
"
"2026/03/01","","2026/03/01","","","TEST:120:EDT-終日スケジュール(時刻なし)/1日/通常","終日:2026年3月1日-3月1日
"
"2026/03/01","","2026/03/02","","","TEST:121:EDT-終日スケジュール(時刻なし)/2日/通常","終日:2026年3月1日-3月2日
"
"2026/03/01","00:00:00-0500","2026/03/02","00:00:00-0500","","TEST:122:EDT-終日スケジュール(時刻あり)/1日/通常","2026年3月1日0:00-3月2日0:00
"
"2026/03/01","00:00:00-0500","2026/03/03","00:00:00-0500","","TEST:123:EDT-終日スケジュール(時刻あり)/2日/通常","2026年3月1日0:00-3月3日0:00
"
"2026/03/07","10:00:00-0500","2026/03/08","11:00:00-0400","","TEST:148:JST-終日スケジュール(時刻あり)/1日/通常→サマータイム","2026年3月7日10:00-3月8日11:00
"
"2026/03/07","10:00:00-0500","2026/03/09","11:00:00-0400","","TEST:149:JST-終日スケジュール(時刻あり)/2日/通常→サマータイム","2026年3月7日19:00-3月19日11:00
"
"2026/03/08","","2026/03/08","","","TEST:134:EDT-終日スケジュール(時刻なし)/1日/通常→サマータイム","終日:2026年3月8日-3月8日
"
